PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
mhYBT,k4r2/2p3qr/1pR5/pP1nP3/P7/5NP1/6KP/1Q1R4 b - - 2 41,f8f3 g2f3 g7f7 f3e4 h7g7 d1d5 g7g4 e4e3 f7d5 b1f5 d5d4 e3f3,2945,104,86,356,clearance crushing hangingPiece middlegame veryLong,https://lichess.org/8KjXZXlp/black#82,
CR3VW,1r6/ppk5/2pbQn2/4n3/P3P1BB/4qP2/1P2N1K1/7R w - - 5 34,h4f6 e3e2 g2h3 e5g4 e6f7 c7b6 f7b3 b6a6 h3g4 b8g8 g4f5 g8g3 h1e1 g3f3 f5e6 f3f6 e6f6 e2e1,2945,104,82,217,crushing fork hangingPiece middlegame veryLong,https://lichess.org/9gtJynJd#67,
qxaa6,7k/5p2/5NpP/p2p2Q1/P7/2rq1P1K/6P1/5N2 w - - 2 48,h6h7 d3f1 h3h2 f1e1 f6g4 c3c6 g4e5 c6e6 e5f7 h8h7,2944,107,73,278,crushing endgame hangingPiece quietMove veryLong,https://lichess.org/Ftfm2Jd7#95,
96x4c,4r1k1/p5pp/Pp3p2/1P2p2q/1Brp4/2P2P1n/4QP1P/2R1R2K b - - 8 33,h3f4 e2c4 g8h8 c4c6 e5e4 c6e8 h5e8 e1e4 f4e6 c3d4 h7h6 c1c6 e8h5 c6e6,2944,114,88,701,crushing fork hangingPiece middlegame veryLong,https://lichess.org/wWh2peeZ/black#66,
bVgfL,3r2k1/p4ppp/1q1r1b2/1p1b1P1N/2p3Q1/P1P5/1P4PP/1B1R1R1K b - - 2 24,d5g2 h1g2 d6d2 d1d2 d8d2 g2f3,2942,104,85,159,advantage defensiveMove hangingPiece long middlegame,https://lichess.org/YsmZrb4G/black#48,
pDgLl,r3r2k/pb1R1Bpp/1p3b2/4q3/6Q1/4B2P/PPP3P1/2K4R w - - 1 21,f7e8 e5e3 c1b1 e3e8,2941,108,86,448,advantage fork hangingPiece middlegame short,https://lichess.org/E18miwxq#41,
F1656,6k1/p5pp/3n4/8/4P3/1P2K2P/2P5/8 b - - 1 50,d6e4 e3e4 g8f7 e4e5 a7a5 e5d6 h7h5 d6e5,2941,123,88,532,crushing defensiveMove endgame hangingPiece veryLong,https://lichess.org/mmIYHQFp/black#100,
FTBcl,2kr2nr/ppB2ppp/8/2bN4/2B1P3/5Q2/P1q3PP/3R3K b - - 0 16,d8d5 d1d5 c2c1 d5d1 c1c4 c7g3,2940,105,87,564,advantage defensiveMove hangingPiece long middlegame,https://lichess.org/HzNEGMZp/black#32,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
R1vKX,8/p1k2p2/4p3/2p5/P1P3nP/6P1/1r4N1/3R2K1 b - - 0 35,b2g2 g1g2 g4e3 g2g1 e3d1 h4h5 d1b2 h5h6,2940,106,86,420,crushing endgame hangingPiece quietMove veryLong,https://lichess.org/kJmOtsV6/black#70,
Xh4fc,8/8/8/P6r/1P6/2R2p2/2P3k1/2K5 w - - 1 51,c3f3 g2f3 c1b2 f3e4 b2b3 e4e5,2940,111,88,232,advantage defensiveMove endgame hangingPiece long rookEndgame,https://lichess.org/Wn5TUnhv#101,
c5IwI,3rkr2/pp2q2p/4bnp1/4R1Q1/8/B7/P2N1PPP/R2K4 b - - 4 19,e7a3 e5e6 e8d7 e6f6 a3a4 d1e2 a4d4 f6f8,2938,106,88,477,crushing hangingPiece middlegame veryLong,https://lichess.org/gknYH3lm/black#38,Scotch_Game Scotch_Game_Haxo_Gambit
4373z,6rk/R2b2r1/2p1p3/P1PpP3/5p2/Q6R/3KN1p1/7q b - - 1 42,h1h3 a3h3 g7h7 h3f3,2938,111,84,387,advantage hangingPiece middlegame short,https://lichess.org/wqsCetbb/black#84,
EvC6d,8/2N5/7p/1p3p2/2k1pP2/P1P1P2n/6K1/8 b - - 0 38,h3f4 e3f4 h6h5 g2f1,2938,105,87,365,crushing defensiveMove endgame hangingPiece knightEndgame short,https://lichess.org/PNcndekv/black#76,
5SiPV,3r4/2KP4/8/6pk/5p2/3R3P/8/8 b - - 4 54,d8d7 c7d7 g5g4 d7e6 g4g3 d3d8 g3g2 d8h8,2937,118,88,615,clearance crushing endgame hangingPiece quietMove rookEndgame veryLong,https://lichess.org/bO8I1p2G/black#108,
cBU3T,8/3B4/3K4/4p1kp/r7/6p1/8/3R4 b - - 0 47,e5e4 d7a4 g5f4 d1d2 h5h4 a4d7,2934,101,81,218,crushing defensiveMove endgame hangingPiece long quietMove,https://lichess.org/CvlSR88g/black#94,
STxj7,3r1r1k/7p/pqp5/4P3/4RP2/1PQ5/5RKP/8 w - - 3 35,g2h3 b6f2 e5e6 h8g8 e4e2 f2d4 c3g3 g8h8 e6e7 d4d7 g3g4 d7g4 h3g4 f8g8 g4f5 d8d5 f5f6 g8g6 f6f7 d5f5,2934,110,88,236,advantage attraction endgame exposedKing hangingPiece master veryLong,https://lichess.org/1fmShPk2#69,
dqwn4,8/6p1/3k2B1/4p1n1/4P2P/3K4/8/8 b - - 0 46,g5e4 d3e4 d6e6 h4h5 e6f6 e4d5 f6e7 d5e5 e7f8 g6h7 f8f7 e5e4,2934,118,88,750,crushing defensiveMove endgame hangingPiece quietMove veryLong zugzwang,https://lichess.org/X8RHU5q0/black#92,
BcIOv,2K5/8/4R3/2PPbk2/3r4/8/8/8 w - - 1 56,e6e5 f5e5 d5d6 e5e6 c8c7 d4a4 c5c6 a4a8,2933,105,88,758,crushing defensiveMove endgame hangingPiece quietMove rookEndgame veryLong,https://lichess.org/AjCwrIqT#111,
dUVVe,8/8/1k5p/p2Nppp1/K7/4bPPP/8/8 b - - 6 47,b6a6 d5e3 f5f4 g3f4 g5f4 e3c4 e5e4 c4a5,2932,116,91,1204,crushing endgame hangingPiece veryLong,https://lichess.org/bugO9FuI/black#94,
mtqev,rn1q1rk1/6p1/1p1bP3/p1p1p3/3P4/2P1P1B1/PP4QP/R3K2R b KQ - 0 18,e5d4 g2a8 d6g3 h2g3 d4c3 a8g2 d8d3 e6e7,2931,132,87,821,advancedPawn advantage hangingPiece middlegame quietMove veryLong,https://lichess.org/CvCXMRR6/black#36,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
uzvVv,5r2/1P6/7P/P7/6P1/1k6/8/1K6 w - - 7 61,b7b8q f8b8 b1c1 b8c8 c1d2 b3c4,2930,111,88,266,crushing defensiveMove endgame exposedKing hangingPiece long,https://lichess.org/7gowHMb5#121,
0lzwh,r4r2/pp3pk1/6b1/3Q3P/3p4/3P4/1qPK1PB1/4R2R b - - 0 23,g6d3 d2d3 b2c3 d3e2 a8e8 g2e4 f7f5 e2f1 f5e4 d5g5,2929,106,86,542,advantage hangingPiece middlegame veryLong,https://lichess.org/t4SIL33c/black#46,
jYduX,rn3r2/2p2Bk1/p5Pb/1p1Pp3/2p3Q1/2Nq4/PP6/K6R b - - 3 25,b8c6 d5c6 a8d8 c3e4 c4c3 b2c3,2929,115,89,756,advantage hangingPiece long middlegame quietMove,https://lichess.org/V7l0wpo7/black#50,
nhOwg,8/6P1/7P/1p2bN2/8/pk6/4Kp2/8 b - - 0 57,e5g7 h6g7 b3b2 f5d4 a3a2 d4b3 b2b3 g7g8q,2928,92,92,477,advancedPawn attraction crushing endgame hangingPiece promotion quietMove veryLong,https://lichess.org/EhKj3yxI/black#114,
Eivan,5k2/4RB1p/2P3pb/3N4/4P3/7P/p2p1PP1/1r1R2K1 w - - 1 34,c6c7 b1d1 g1h2 d1c1 c7c8q c1c8 f7e6 h6f4 g2g3 c8c7,2928,115,88,752,advantage endgame hangingPiece veryLong,https://lichess.org/JdUZyNts#67,
eojI5,3b4/8/p1K5/1p1PB3/8/1P5p/P5k1/8 b - - 1 51,d8f6 e5f6 h3h2 d5d6 h2h1q d6d7 g2f1 c6b6 h1g1 b6a5 g1h2 d7d8q h2a2 a5b4 a6a5 d8a5 a2d2 f6c3,2927,105,83,394,advancedPawn bishopEndgame crushing endgame hangingPiece promotion veryLong,https://lichess.org/CDsaK3nL/black#102,
QIuwX,4R3/p4p2/1p2n1k1/2pR2p1/P2b1qNp/1P5P/1P3BP1/6K1 b - - 9 33,f7f5 e8e6 g6f7 e6e1 d4f2 g4f2,2926,110,87,527,advantage hangingPiece long middlegame quietMove,https://lichess.org/GL4RzcC5/black#66,
zckBE,rn1qr1k1/ppp1bppp/3p4/3n3b/3P4/P2B1N1P/1PP2PP1/RNBQ1RK1 w - - 1 10,d3h7 g8h7 f3g5 h7h6 g5e6 g7g5 e6d8 h5d1,2926,117,90,1001,advantage hangingPiece master opening veryLong,https://lichess.org/H1Bmaevp#19,Alekhine_Defense Alekhine_Defense_Other_variations
OOSNG,1Qb2k2/2P1b3/p4p1q/4pP2/4P1rp/P7/2R4K/4R3 b - - 2 41,g4g3 b8c8 f8g7 c8d7 h6f4 e1g1 g7h6 g1g3,2925,111,87,267,crushing hangingPiece middlegame pin veryLong,https://lichess.org/cRjX5yCd/black#82,
uOQeG,1r6/1PP3k1/3N4/3K4/8/4pr2/1P4pp/4R3 b - - 0 52,h2h1q c7b8q f3f7 d6e4,2925,100,92,1100,advancedPawn advantage defensiveMove endgame hangingPiece master masterVsMaster promotion short,https://lichess.org/Un4c2W1I/black#104,
XKx3a,6k1/6p1/1p4b1/p7/4p1P1/1P1pK2P/P2Q4/r3B3 w - - 0 35,d2b2 a1e1 e3f4 e1f1 f4g5 f1f6,2923,105,83,235,crushing defensiveMove endgame exposedKing hangingPiece long,https://lichess.org/qzb1Ra97#69,
GDSuk,1r4k1/1Pn2p1p/3R2p1/2pP4/3bq3/1Q6/1P2NPPP/2B3K1 w - - 4 32,d6d8 b8d8 b7b8q d8b8 b3b8 g8g7 g1f1 e4c2 f1e1 c7d5,2922,108,86,258,crushing hangingPiece middlegame veryLong,https://lichess.org/xE55WYgI#63,
JcD7J,8/7p/pB6/P5P1/4k2P/3np1K1/8/8 w - - 6 63,b6e3 e4e3 g3g4 d3f4 h4h5 f4e6 h5h6 e6f8,2922,99,91,637,crushing defensiveMove endgame hangingPiece master quietMove veryLong,https://lichess.org/SEy2AsOf#125,
AkTkr,6Q1/kp3p2/2p4p/p1NP4/P1BqPp2/2b4P/5P1K/8 w - - 0 34,g8c8 d4c5 d5c6 c5f2,2922,107,83,348,crushing endgame hangingPiece short,https://lichess.org/uXKUj9KO#67,
